.comfax,MessageClick
Global Pharmaceutical Corp.,"Impax Laboratories, Inc. "
Global Recruiting Solutions,"Peopleclick, Inc. "
"Global Safety Surveillance, Inc.","Sentrx, Inc.  "
Global Textile Network,Textrade.com
Global Village Communication,"OneWorld Systems, Inc. "
"GlobalServe Computer Services, Ltd.","GlobalServe, Inc. "
"GlobiTech, Inc.",GlobiTech Holding Company
"Glucon, Inc.",IntelliDx
GluMetrics LLC,"GluMetrics, Inc. "
"GMS Systems, Inc.","Power Base Systems, Inc. "
GoBootstrap.com,"Bootstrap, Inc. (DBA: Outright.com "
GOCOM Holdings LLC,Peidmont Holdings LLC
GoDigital Telecomm,GoDigital Networks Corporation
Gofish.com,SeaFax
"Golf Liaison, Inc.",Innova Corporation
GooBoo.com,"InfraVio, Inc. "
GoPDA.com,"Handango, Inc. "
"GotCompany, Inc.",GOT Corporation
"GoTo.com, Inc.","Overture Services, Inc. "
GoToMyDoc.com,"Avia Health, Inc. "
"GoWarehouse.com, Inc.","Vizional Technologies, Inc. "
GRAFTcath,"Hemosphere, Inc. "
Graham Technology Solutions,BroadWare Technologies
"Grand Brands, LLC","Grand Brands, Inc. "
Grantlun Corporation,Hard Dollar Corporation
"Grassroots.com, Inc.","Grassroots Enterprise, Inc. "
"Grassy Brook, Inc.","StreamBase Systems, Inc. "
"GratisCard, Inc.","Revolution Money, Inc. "
"Graw Group, The",Trumba Corporation
"Gray Cell, Inc.","Unimobile, Inc. "
"GRC Enviromental, Inc.",Galson Corp.
GRI,"Georesearch, Inc. "
Group Management Technologies,Newtek Financial
GT Equip. Technologies,"GT Solar International, Inc. "
GTI Power Systems,"ColdWatt, Inc. "
"Guard ID Systems, Inc.","White Sky, Inc. "
"GuideOptics, Inc.","Silecs, Inc. "
Guiltech Research,Saxpy Computer Corporation
"Gupta Technologies, Inc.",Gupta Corporation
GuruNet Corporation,Answers Corporation
"GXL, Inc.","Raptr, Inc. "
"Gynomed Pharmaceuticals, Inc","Gynopharma, Inc. "
H-Square Corporation,"Xybergraphics, Inc. "
"H-Stream Wireless, Inc.","Ozmo, Inc. "
"H.Q. Wireless, Inc.","Tantivy Communications, Inc. "
H&S Associates,"Quintessential Solutions, Inc. "
"HAHT Software, Inc.","HAHT Commerce, Inc. "
"Halcyon Software, Inc.","Stryon, Inc. "
"Hamlet, Inc.",Farecast
Hamlin Transmission Corporation,"Spinergy, Inc. "
"HardBall Software, Inc.",InfoShark
"Harmonic Lightwaves, Inc.","Harmonic, Inc. "
Harris Black International,"Harris Interactive, Inc."
"Hatcher Associates, Inc.",Corillian Corporation
"HDAC, Inc.","Averant, Inc. "
Health Assurance Corp,Corus Medical Corporation
"Health Calls, Inc.","HCI Services, Inc. "
"Health Research Network, Inc.",InSync Research
Health Resources & Technology,"Best Doctors, Inc. "
"Health, Education & Retirement Organization","HERO, Inc."
Healthcare Decision Tech,"HealthShare Technology, Inc. "
Healthcare Direct Marketing,HealthPlus
"Healthcare Resource Management, Inc.","Princeps, Inc. "
Healthcare Services of Amer.,"Ramsay Youth Services, "
"HealthCents, Inc.","TGC Stores, Inc. "
"HealtheCare, Inc.",Definity Health
Healtheon,HTLH Corp.
"HealthFlash, Inc.","Compliance 360, Inc. "
HealthKnowledge Corporation,Pointshare Corporation
Healthscape,HTLH Corp.
HealthSouth Rehabilitation,HealthSouth Corporation
HEARx West Corporation,"HearUSA, Inc. "
"HelpMate Robotics, Inc.","PainCare Holdings, Inc. "
HEM Pharmaceuticals Corp,"Hemispherx BioPharma, Inc."
"HemoTech Sciences, Inc.","Allos Therapeutics, Inc. "
"Hepatix, Inc.","VitaGen, Inc. "
Heritage Propane Part.,"Energy Transfer Partners, L.P. "
"HeyLetsGo, Inc.","Going, Inc. "
"Hi Life, Inc.","LifeMasters Supported SelfCare, Inc. "
High Ground Storage Corp,"HighGround Systems, Inc. "
High TechCampus,Edgia
"Highwired Network, Inc.",HighWired.com
Hillcrest Communications,"Hillcrest Laboratories, Inc. "
"Himedics, Inc.","PharmaSciences, Inc. "
HireSystems,"BrassRing, LLC "
Holl Technologies Company,"Kreido Laboratories, Inc. "
Holocomm Systems Inc,Holocom Networks
Holontech Corporation,Cyber IQ Systems
Holt Educational Outlet,Toysmart.com
"Home Building, Inc.","HomeSphere, Inc. "
"Home Data, Inc.","ClearSource, Inc. "
"Home Healthcare Interactive, Inc.",InterCare Inc.
"Home Robots, Inc.","Neato Robotics, Inc. "
"HomePlace Stores, Inc","HomePlace of America, Inc. "
HomeShark,"iOwn, Inc. "
Homestead Provisions,"Homestead Snacks, Inc. "
"HomeStore, Inc. ","Move, Inc. "
"HomeTailor, Inc.",Home2
"Horizon Live Distance Learning, Inc.",HorizonLive
"Hospitalists, Inc.","Cogent Healthcare, Inc. "
Hotvoice Communications Int'l.,"HVC Technologies, Inc. "
"Houghten Pharmaceuticals, Inc.","Trega Biosciences, Inc. "
Hour Portrait Studios,"Expressly Portraits, Inc. "
"HR Technologies, Inc.",InScope Corporation
"HRZ, Inc.","AccessBridge Communications, Inc. "
"HSAC, Inc.","Halley Systems, Inc. "
HubStorm Corporation,Velosel Corporation
"Hunter & Ready, Inc.","Ready Systems, Inc. "
Hurricane Technology Partners,"Notara, Inc. "
HW Holdings,"Hawaiian Wireless, Inc. "
Hybridoma Sciences,"Hycor Biomedical, Inc. "
HydraLite Corporation,Ciena Corporation
Hydro Med Sciences,"Valera Pharmaceuticals, Inc.  "
Hynomics Corporation,"Clearsight Systems, Inc. "
"Hypermedia Communications,Inc.","Univercell Holdings,Inc."
HyperNOC,"ClearPoint Metrics, Inc. "
"Hyperpia, Inc.","Arcadia Entertainment, Inc. "
"HysteRx, Inc.","Vascular Control Systems, Inc. "
"i-Space, Inc.",Perceptus
"I-Witness, Inc.","DriveCam, Inc. "
I'm In Like With You,"Biosocia, Inc. (DBA: OMGPOP "
"I4 Commerce, Inc.","Bill Me Later, Inc. "
"Iamba Technologies, Ltd.","Iamba Networks, Inc. "
iAMnetworks.com,Ten Square (TM
"Iatromed, Inc.",OrthoLogic Corporation
"iBelong, Inc.",Verilytics
IBNET,Deal Group Media PLC
"IBSN, Inc.","Selero, Inc. "
"IC Works, Inc.",Cypress Semiconductor Corporation
"IC-USA, Inc.","Visicu, Inc.  "
"iCognito Technologies, Ltd.","PureSight, Inc. "
"Icom, Inc.",Dama Telecommunications Corporation
"Iconix Pharmaceuticals, Inc.","Iconix Biosciences, Inc. "
iContact.com,hey Inc
iCraft.com,"IdeaForest.com, Inc. "
ICTUS Pharmaceuticals,"Neuron Therapeutics, Inc. "
Idea Metrix,"Enviz, Inc. "
IDEC Pharmaceuticals Corp.,"Biogen Idec, Inc. "
"IdentiCrypt, Inc.","Voltage Security, Inc. "
"Idetic, Inc.","MobiTV, Inc. "
IDEXX Corporation,"IDEXX Laboratories, Inc. "
iDirectMedia,"Widevine Technologies, Inc. "
"Idoox, Inc.",Systinet Corporation
IE-E Ngine,"HighRoads, Inc. "
"IECOA.net, Inc.","Veripost, Inc."
"iEngineer, Inc.","Assentive Solutions, Inc. "
IFC Medical,Chameleon Scientific
"iFeminina.com, Inc.","Obsidiana.com, Inc. "
"iFleet, Inc.",ERS
"iFly Air Taxi, Inc.","POGO Jet, Inc. "
IG3D Corp.,Image-Guided Neurologics
Iken Tissue Therapeutics,Theregen Company
Ilex Corporation,Financial Industries Corporation
IllinoisPCS,"iPCS, Inc. "
"Illuminate, Inc.","Vivant, Inc. "
"Illumita, Inc.","Skytap, Inc. "
"Image Sciences, Inc.",Varis Corporation
Image-Metrics PLC,"Image Metrics, Ltd. "
ImageAmerica,"MedAlliance, Inc. "
"ImageMind Software, Inc.","ImageMind, Inc. "
Imaging Technologies,"New Zoom, Inc. (DBA: ZoomSystems "
"Imandi.com, Inc.",Rendition Networks
ImaRx Pharmaceutical,"ImaRx Therapeutics, Inc. "
"IMCentric, Inc.","Venafi, Inc.  "
"IMED Devices, Inc.","CeloNova BioSciences, Inc. "
"IMGIS, Inc.",AdForce
iMinorities.com,"IMDiversity, Inc "
Immtech International,"Immtech Pharmaceuticals, Inc. "
Immune Response Corp.,"Orchestra Therapeutics, Inc. "
Immunomed Corporation,"Vetoquinol USA, Inc. "
Immunoscience/Cellular Immunology,VIMRx Pharmaceuticals
"Immunotechnology, Inc.","Ventana Medical Systems, Inc. "
IMP,International Microelectronic Products
"Impact Systems, Inc.",Gestetner Lasers
"Implant Center, Inc.",Innovion Corporation
"Implant Technology,Inc.",Oasis Online Technologies Corp.
"Impulsity, Inc.","Aeritas, Inc.  "
"In Focus Systems, Inc.",InFocus Corporation
In-home Health Care Services,Independent Nurses
In-Line Diagnostics,HemaMetrics Corporation
"In-Patient Consultants, Inc.","IPC, Inc. "
"In-Process Technology, Inc.","Thermatrix, Inc. "
"In-Store Advertising, Inc.","Emarc, Inc. "
Incara Pharmaceuticals,"Aeolus Pharmaceuticals, Inc. "
"Incentive Systems, Inc.","Centive, Inc. "
INCODE,Honeywell POMS
"inCode Telecom Group, Inc.",inCode Wireless
Indigo Software Corporation,"ReportSmith, Inc. "
"Induslogic, Inc.","Globallogic, Inc. "
Industry Innovations,ProSavvy
"INetCam, Inc.","Viva! Vision, Inc. "
"iNetProfit, Inc.","ReachForce, Inc. "
"Infinicon Systems, Inc.",SilverStorm Technologies
Infiniplex,Voxitas
InfiniSwitch Corporation,"Fabric Networks, Inc. "
"Infinity Channel Networks, Inc.","RipCode, Inc. "
"Infinity Coding Solutions, Inc.","YottaMark, Inc. "
"Inflection Systems, Inc.","ExaGrid Systems, Inc. "
"InfoBeat, Inc.","Exactis.com, Inc. "
InfoCharms,"Charmed Technology, Inc. "
"InfoCruiser, Inc.","Appfluent Technology, Inc. "
InfoGlide Corporation,Infoglide Software Corporation
InfoMech,High Branch
"InfoPost, Inc.","MediaVast, Inc. "
"Informed Access, Inc.","Informed Access Systems, Inc. "
Informed Creation,"CardioThoracic Systems, Inc. "
"Inforocket, Inc.",LiveAdvice
InfoSpeed,"Novarra, Inc. "
InfoWave Technlogies Inc.,"Novient, Inc. "
InfoWorks,"Xpede, Inc. "
"Infraswitch, Inc.","GoBeam, Inc. "
Ingene,International Genetic Engineering
INH Semiconductor,"NetEffect, Inc. "
"Inhale Therapeutic Systems, Inc.",Nektar Therapeutics
Ink Development Corp.,"eShop, Inc. "
Inmed Corporation,Med Plus Corp.
"Innovative Fluidics, Inc.","Nuventix, Inc. "
"Innovative IT Solutions, Inc.",Sircon Corporation
"Innovative Metabolics, Inc.","SetPoint Medical, Inc. "
Innovative Pharmaceutical,"Inspire Pharmaceuticals, Inc."
Innovative System Applications,AppWorx Corporation
"Innoventions Biomedical, Inc","Vaser, Inc. "
Innoveta Technologies,"TDK Innoveta, Inc. "
"Innovidia, Inc.","DS-IQ, Inc. "
Innovus Sensor Technology,Innov Holding Company
"InoMet, Inc","Integ, Inc. "
"InovaWave, Inc.","Hyper9, Inc. "
"Inpho, Inc.",Domania.com
"InPurchase.com, Inc.","Aceva Technologies, Inc. "
"InQ, Inc.","TouchCommerce, Inc. "
InScribe Technologies,"Event Zero, Inc. "
"Insmed Pharmaceuticals, Inc.","Insmed, Inc. "
"InSonus Medical, Inc.","InSound Medical, Inc. "
Instant802 Networks,"Devicescape Software, Inc. "
Instinct Software,ClearForest Corporation
"Instinctive Technologies, Inc.","eRoom Technology, Inc. "
Institut. Commun. Co.,"ICC Telecommunications, Inc. "
"InStorecard, Inc.","Loyalty Lab, Inc. "
"Instrumentation Metrics, Inc.","Sensys Medical, Inc. "
Insyde Software Inc,"Insyde Technology, Inc "
"Integra, Inc.","Compass Information Services, Inc. "
Integral Media Srvcs,"Integreon Managed Solutions, Inc."
"Integrated Data Communication, Inc.","Airbiquity, Inc. "
Integrated Data Systems Corporation,"Callixa, Inc.  "
Integrated Delivery Solutions,"Vertrax, Inc. "
Integrated Fitness Corporation,"FitLinxx, Inc. "
Integrated Micromachines,"Touchdown Technologies, Inc. "
Integrated Neuroscience Consortium,"INC Research, Inc. "
Integrated Packaging Assembly Corp.,"OSE USA, Inc "
"Integrated Partnerships, Inc.","Directfit, Inc. "
Integrated Technologies Inc.,"SoftSwitch, Inc. "
"Integrian, Inc.","Digital Safety Technologies, Inc. "
IntelCore Technologies,"Verrillon, Inc. "
Intelecare,"Synchrony Communications, Inc. "
"Intelic Software Solutions, Inc.",Azerity
"Intellicardia, Inc.","CHF Solutions, Inc. "
"Intelliform Software, LLC",Encounter Point Technologies
"Intelligent Business Systems, Inc.","Wynstar, Inc. "
"Intelligent Data Engines, Inc.",Netezza Corporation
Intelligent Devices,"ViaCast Networks, Inc. "
Intelligent Medicine,Ivion Corp.
Intelligent Sensor Systems,"Qcept Technologies, Inc. "
Intelligent/Digital,Idapta
Intellipost Corporation,MyPoints.com
Intellistor Inc,"Intelligent Storage, Inc. "
"Intelliwire, Inc.","Intella Interventional Systems, Inc."
"Intelogis, Inc.","Inari, Inc. "
Intensicare Corporation,American Physicians Network
Interact Networks,"Lockdown Networks, Inc.  "
"Interactive Financial Services, Inc.",IFS Software
"Interactive Knowledge, Inc.",NetLibrary
Interactive Learning Intl Corp (ILINC,LearnLinc
"InterCel, Inc.","Powertel, Inc. "
Intercim Corporation,Intercim LLC
"Interface21, Inc.","SpringSource Global, Inc. "
"InterFax, Inc.","Harvest Software, Inc."
International Talk.com,Vonova Corporation
International Technology,"Immunotech Laboratories, Inc."
International Telemanagement,MAXM Systems Corporation
International Video Network,IVN Communications
Internet Access Financial Corporation,"NextCard, Inc. "
"Internet Crossing, Inc.","iCrossing, Inc. "
Internet Diamonds,"Blue Nile, Inc. "
"Internet Financial Network, Inc.","Infogate, Inc. "
Internet Health LLC,"NaviMedix, Inc. "
Internet Machines Corporation,IMC Semiconductor
Internet Systems Corporation,Impact Solutions Corp
Internet Travel Network,GetThere.com
Internet Wire,Market Wire
Internetian,Angel  Engineers
Interpore Cross International,"Interpore Spine, Ltd. "
"InterQuest Communications, Inc.",Ygnition Networks
Intertrials Research Clinical Services,"Acurian, Inc. "
Interventional Thermodynamics,"InnerDyne Medical, Inc. "
Intl Foods Corp.,"Horizon Food Group, Inc. "
Into Productions,Martini Media Network
IntraBiotics Pharmaceuticals,"Ardea Biosciences, Inc. "
"IntraSoft, Inc.",KVLabs
IntraSolv Consulting,"iRise, Inc. "
Intravascular Surgical Inst.,Kensey Nash Corporation
"Intrepid Food Holdings, Inc.",Natural Nutrition Group
Intrinsic Orthopedics,"Intrinsic Therapeutics, Inc. "
"Intrusec, Inc.","Cambia Security, Inc. "
Intuitive Surgical Devices,"Intuitive Surgical, Inc. "
"INVESTools, Inc.","Thinkorswim Group, Inc. "
InvestorForce.com,"Investor Force, Inc. "
Invivo Medical Research,"Kelsius, Inc. "
IOA Corporation,"Clerios, Inc. "
Ion America Corporation,"Bloom Energy, Inc. "
iPacer Corporation,"Informio, Inc. "
IPNI Communications Corporation,"iPhysicianNet, Inc. "
"IPrad, Inc.","Axerra Networks, Inc. "
IQ Commerce Corporation,"IQ Advantage, Inc. "
iQenergy,"Vettro Solutions, Inc. "
IQT Inc.,InTechnology Corporation
IRC,Interactive Research Corporation
IronHide Corporation,"Cast Iron Systems, Inc. "
"Irrupt, Inc.","Narus, Inc. "
Irvine Alpert,"Project Guides, Inc. "
"iSky, Inc.","WildBlue Communications, Inc. "
"Islandwide Broadcasting, L.P.",I.W. LLC
"Isotechnologies, Inc.",Comp Entertainment
"Ispiri, Inc.","Mirra, Inc. "
IST Associates,"Tessera, Inc. "
"Iteration Software, Inc.","Istante Software, Inc. "
ITI,"American Auto-Matrix, Inc. "
iTixs,Backflip Inc.
"ITM, Inc.",One Point
"iUpload, Inc.","Awareness, Inc. "
IVF America,"IntegraMed America, Inc."
"iVMG, Inc.","NetVMG, Inc. "
"IvyPlan, Inc.","Longitude Systems, Inc. "
IXATA Group,RFP Express
Ixsys,"Applied Molecular Evolution, Inc. "
J,"ISOETEC Communications, Inc. "
"J. Frank Consulting, Inc.",Chordiant Software
"JaalaM Technologies, Inc.",Apparent Networks
Jaluna SA,"VirtualLogix, Inc. "
"Japan Partners, Inc.",AdvisorTech Corporation
Jay Industrial Technologies Group,Valve Services Group
JB Cubed Inc,FedResults
JBoss Group,"JBoss, Inc.  "
"JEDI Technologies, Inc.","Nazomi Communications, Inc. "
"jeTech Data Systems, Inc.","eLabor.com, Inc. "
"JetFax, Inc.",eFax.com
Jones/Rodolfo Corporation,"Cutter & Buck, Inc. "
Junction Interest,MTI Technologies
"Juniper Medical, Inc.","Zeltiq Aesthetics, Inc. "
"Jupiter Media Metrix, Inc.","JMXI, Inc. "
Just In Time Solutions,"Avolent, Inc. "
"Just Like TV Internet, Inc.","Escalate, Inc. "
"Just Pretend, Inc.",Kid Galaxy
JustBalls.com,"Integrated Sports Marketing Group, Inc. "
"JUSTCHEX, LLC",Transmodus Corporation
"KangarooNet, Inc.","Entopia, Inc. "
Kango,"Three All, Inc. (DBA: UpTake "
Kansas City Technology,Cognistar Corporation
"Kapoof, Inc.",Epesi Technologies
"KAPRE Software, Inc.","Decisionism, Inc. "
Karen Austin Fashions Petites,"Petite Concepts, Ltd. "
"Kars-Yes, Inc.","Kars-Yes Holdings, Inc. "
Kasayka Corporation,"Cozi Group, Inc. "
"Katana Technology, Inc.","Virtual Iron Software, Inc. "
Kaveri Networks & PicoNetworks,"Embrace Networks, Inc. "
Kayak Interactive Corporation,BLAZE
"Kayak Software, Inc.",Kayak.com
"KeepSmart, Inc.","SmartPros, Ltd. "
"Kefta.com, Inc.","Kefta, Inc. "
"Kera Corneal Devices, Inc.","Keravision, Inc. "
"Kergy, Inc.","Range Fuels, Inc. "
KevSoft Corporation,"RTO Software, Inc. "
"Key Optics, Inc.","Inplane Photonics, Inc. "
"Key Research, Inc.","PathScale, Inc. "
"Key Systems, Inc.","ProfitKey International, Inc. "
"Keymarket Of Charlotte, Inc.",Keymarket III
"KidsOnLine.com, Inc.",Swap.com
"Kinera, Inc.",Telsima Corporation
"Kizai, Inc.",WiredCapital
KMV Technologies,"LifeSize Communications, Inc. "
knoa Corporation,"Knoa Software, Inc. "
"Knosys, Inc.",ProClarity
Knowallyoucan.com,CareCore.com
"Knowledge Networks, Inc.",Austin Chalk Oil & Gas Ltd.
"Knowlex, Inc.",Ascent Logic Corporation
KnowToday.com,"Clerity, Inc. "
Koch Systems Corp.,"OBS Investment Systems, Inc. "
"Komag, Inc.","WD Media, Inc. "
"KorTeam International, Inc.","Breveon, Inc. "
KQ Corporation,"GlobalSim, Inc. "
KSOL,Crescent Communications
"L'Art de Vivre & Indulge.com, Inc.","Vivre, Inc. "
L3Sites,Vectiv Corporation
"L90, Inc.",MaxWorldwide
La Salsa Holding Company,"La Salsa, Inc. "
"Landmark Networks, Inc.","Firetide, Inc. "
LANSpeed,"Centillion Networks, Inc. "
Lantern Technology Corporation,UpShot Corp.
"LARA Technology, Inc.",empowerTel Networks
Laser Surgery Software,"Proclosure, Inc. "
Last Mile Services,"Ontologent, Inc. "
Latina Publications,"Latina Media Ventures, LLC "
"Layer N Networks, Inc.","Britestream Networks, Inc. "
"Layered Media, Inc.","Vidyo, Inc. "
"LBE Technologies, Inc.",Silicon Entertainment
LCL Systems,"Infocel, Inc. "
LeapIt.com,iLearning
Learn PC Video Systems,J3 Learning Corporation
"LearningState, Inc.","Ventix Systems, Inc. "
Learnware International Corporation,Accelera Corp.
"LegalRev, Inc.","Avvo, Inc. "
"Lemur Networks, Inc.",Sereniti Inc.
Letterdale Software,"TimeDance, Inc. "
"Level 8 Systems, Inc.","Cicero, Inc. "
Level100 Communications,"Digital IMS, Inc. "
Levotech Inc.,"Agile Therapeutics, Inc. "
Lexar Microsystems,Lexar Media Corporation
Lexeme,"LingoMotors, Inc. "
"Lexicon Genetics, Inc.","Lexicon Pharmaceuticals, Inc. "
Lexor,Lexocorp
Liberty Technology Center,"Liberty Technologies, Inc."
Lidex Technologies,Xydex Corporation
"LifeCycle Systems, Inc.","Voice Works Inc., The "
LifeShirt.com,"VivoMetrics, Inc. "
"Lightbridge, Inc.","Authorize.Net Holdings, Inc. "
"LightFrog, Inc.","HiWired, Inc. "
Lighthouse Development Corp.,Intrinsa Corporation
LightPC.com,"Always-On, Inc. "
"Lightspeed Semiconductor, Inc.","Lightspeed Logic, Inc. "
"LightSpeed Software, Inc.","Astoria Software, Inc. "
"Limber, Ltd.","Impliant, Ltd. "
"Limbo 41414, Inc.","Brightkite, Inc. "
"Limbo, Inc. ","Brightkite, Inc. "
"Limerick Neurosciences, Inc.","Limerick BioPharma, Inc. "
"Lingerie For Less, Ltd.","Casfam, Inc. "
"Link-IT, Ltd.","Superfish, Inc. "
LinkedUp.com,Hotlinks.com
"Linuxcare, Inc.","Levanta, Inc. "
Linx Technologies,TechSmart
"Lionheart Software, Inc.","SilverStream Software, Inc. "
Liposome Sciences,"LipoGen, Inc. "
"Liposome Technology,Inc.","Sequus Pharmaceuticals, Inc. "
"Lipothera, Inc.","Lithera, Inc. "
"LiquidPrice.com, Inc.","Promeria, Inc. "
LiquidSeats,"StubHub, Inc. "
Litigation Data Corporation,"Fios, Inc. "
"Living Microsystems, Inc.","Artemis Health, Inc. "
LNM Newco Corporation,"Preventsys, Inc. "
"LoanData, Inc.","Monetrics, Inc. "
"Locus Discovery, Inc.","Locus Pharmaceuticals, Inc. "
Log-On Data Corp,8e6 Technologies
Logic Modeling Systems,Logic Modeling Corporation
Lone Wolf Technologies,"Singlestep Technologies, Corp. "
"Long Term Care Services, Inc.","Path Lab Holdings, Inc."
"Longwood Technologies, Inc.",Myometrix
"Lotus Integrated, Inc.","Quantance, Inc. "
"LoudCloud, Inc.","Opsware, Inc. "
"Loudeye Technologies, Inc.",Loudeye Corporation
"Lovoltech, Inc.","Qspeed Semiconductor, Inc "
"LPA Software, Inc.","Xelus, Inc. "
LS-13,"Seventh Sense Biosystems, Inc. "
LSI Logic Corporation,LSI Corporation
Lukens Medical Corporation,Futura Medical Corp.
Lumenare Networks,"QuikCycle, Inc. "
Luna Information Systems,"Provato, Inc. "
"Luz, Inc.","BrightSource Energy, Inc. "
"Lynntech Industries, Inc.",Fideris
"Lynx Therapeutics, Inc.","Solexa, Inc. "
"M2M Holdings, Inc.",Consona Corporation
"Macchina Pty., Ltd.","Dilithium Networks, Inc. "
Macro-Vision,"Chorum Technologies, Inc. "
"Macroflux Corporation, The","Zosano Pharma, Inc. "
"Macrophage Company, Inc.","Argus Pharmaceuticals, Inc. "
MadeToOrder.com,
Madison Information Tech.,"Initiate Systems, Inc. "
MAE Software,"Valchemy, Inc. "
Magainin Pharmaceuticals,Genaera Corporation
"Magna Systems, Inc.","entrinsik, Inc. "
Magnetic Bearing Technologies,"Active Power, Inc. "
"MailFront, Inc.","MailFrontier, Inc. "
Mainstay,"WebsiteASP, Inc. "
MainStream Software Corp.,"Software Leverage, Inc. "
"Mainstreet Hosting, Inc.","Relera, Inc. "
"Mainstreet Marketing Software, Inc.","TargetSmart, Inc. "
Manage.com Inc.,"Cogency Software, Inc. "
Managed Benefit Systems,Managed Care Administrators
"Managed Care USA, Inc.",InServe Corporation
Management Information Technology,SQRIBE Technologies
Management Systems Associates,A4 Health Systems
"ManageStar, Inc.",Real Clear Technologies
Mantra Software,"NuGenesis Technologies, Inc. "
Manufacturing Resources,"White Hat Systems, Inc. "
"MAP ROI Systems, Inc.","Synchris, Inc. "
Marcus Info Systems,Nucleus International Corp.
"Mariko Systems, Inc.","Revivio, Inc. "
Market-Touch Corporation,"Ventaso, Inc. "
"Market10, Inc.","Jobfox, Inc. "
"Marketing Solutions Software, Inc.","MS2, Inc. "
"MarketingGenius.com, Inc.","Genius.com, Inc. "
MarketMembers.com,"E-Duction, Inc. "
MarketMile,"Ketera Technologies, Inc. "
"MarketScape, Inc.","Mobilize, Inc. "
"MarketsWork, Inc.","Zeborg, Inc. "
Marlboro Computer,"MCORP, Inc. "
"Marquee, Inc.","VUDU, Inc. "
Mary Has A Leg Of Lamb,"Mary Parkin Enterprises, Ltd. "
Maryland BioTherapeutics,"Profectus BioSciences, Inc. "
MasPar Computer Corp.,"NeoVista Solutions, Inc. "
"Masterplan Software, Inc.",Pillar Corporation
"Matritech, Inc.","MZT Holdings, Inc. "
"Maven Laboratories, Inc.","Woodside Biomedical, Inc. "
"Maven Technologies, Inc.","Maven Networks, Inc. "
Maxtec International Corporation,"MXT Holdings, Inc. "
"MaXXan Systems, Inc.","CipherMax, Inc. "
"Me.dium, Inc.",OneRiot
Med e-Manager Corp.,MDeverywhere
Med Tel,Eden Tec Corporation
Medaphis Corporation,"Per-Se Technologies, Inc. "
"MedCentral, Inc.","Quick Study Radiology, Inc. "
MedChannel,Accordus
"MedCompanion, Inc.","MedAptus, Inc. "
"Media Publisher, Inc.","Qumu, Inc. "
Mediappraise Corp.,"Performaworks, Inc.  "
"MediaWise Networks, Inc.","FlowWise Networks, Inc. "
"Medical Alliance, Inc.","MAII Holdings, Inc. "
"Medical Business Applications (MBA, Inc.","Xifin, Inc. "
Medical Energy Generation Ass,"Medigenics, Inc. "
"Medical Media Systems, Inc.",Medical Metrx Solutions
Medical Technology Group,Integrated Vascular Systems
"MedicaLogic, Inc.","MedicaLogic/Medscape, Inc. "
"Mediclub, Inc.","Medchoice Warehouse Club, Inc. "
"MedInvent, Inc.","Allux Medical, Inc. "
"Medior, Inc.","Promedior, Inc. "
"Medirisk, Inc.",Caredata.com
"Medivisor Marketing, Inc.","Chemtrak, Inc. "
"Mednet Connect, Inc.",FairPay Solutions
"MedOptions, Inc.","Empyrean Benefit Solutions, Inc. "
Medschool.com,"Medsn, Inc. "
"Melville Biologics, Inc.",V.I. Technologies
MEMGen Corporation,"Microfabrica, Inc. "
Mentum Corporation,"DirectAdvice, Inc.  "
"Meraki Networks, Inc.","Meraki, Inc. "
"Mercury Diagnostics, Inc.","Amira Medical, Inc. "
Meridian Corporate Healthcare,CHD Meridian Healthcare
"Meridian Project Systems, Inc.","Meridian Systems, Inc. "
"MERIX Bioscience, Inc.","Argos Therapeutics, Inc. "
"Merlin Technologies, Inc.","ActivBiotics, Inc. "
"Merlot Communications, Inc.","BAXL Technologies, Inc. "
Metagraphics,"Artmachine, Inc. "
Metallurgical Instr. Grp.,Ultrafine Powder Tech.
Metapa,"Greenplum, Inc. "
MetaProbe LLC,"Alerion Biomedical, Inc. "
"Metasyn, Inc.","EPIX Medical, Inc. "
"MetaTel, Inc.","eDial, Inc. "
"MetaTree, Inc.",ThinkShare Corporation
Metrika Systems Corporation,"Metrika, Inc. "
Metropolitan Cablevision,Metcable Corporation
MetroWeb Tech,"Quantum Bridge Communications, Inc. "
"MFORMA Group, Inc. ","Hands-On Mobile, Inc. "
MI Systems Inc,Mast Immunosystems
Micom Digital Corp.,Spectrum Digital Corporation
Microautomation Technology,Orasis Corporation
Microbar Systems,"Microbar, Inc. "
"Microbia, Inc.","Ironwood Pharmaceuticals, Inc. "
Microcom Technologies,"PartMiner, Inc. "
"Microfield Group, Inc.","EnergyConnect Group, Inc. "
"Microflux, Inc.","Cooligy, Inc. "
MicroFridge,Intirion Corporation
Microlabs Technologies,"Handle Technologies, Inc. "
Microlytics,EarthCare Company
Micromed Laboratories,"Oculus Innovative Sciences, Inc. "
Micropack Corporation,"ClearSource, Inc. "
"Microplate Automation, Inc.","CerionX, Inc. "
MicroProbe Corporation,Epoch Biosciences
Microtechnology Sources,Fourth Shift Corporation
Microwave Components,"Armatek, Inc. "
"Middlesex Sciences, Inc.","Epic Therapeutics, Inc. "
"Midiman, Inc.","Avid Technology, Inc. "
"MightyEyes, Inc.","enScaler, Inc. "
"MIL3, Inc.","Opnet Technologies, Inc. "
Milburn Stirling Corp.,Milburn Research Corporation
Millenia Vision,"Quovera, Inc. "
